token_lower,total_count,initial_upper_count,all_upper_count,initial_upper_ratio,all_upper_ratio
aa,12,12,8,1.0,0.6666666666666666
aag,7,7,0,1.0,0.0
aah,8,6,0,0.75,0.0
aap,8,8,0,1.0,0.0
aapland,5,5,0,1.0,0.0
aaps,53,51,0,0.9622641509433962,0.0
aar,33,33,0,1.0,0.0
aarau,5,5,0,1.0,0.0
aaron,88,88,0,1.0,0.0
abach,7,7,0,1.0,0.0
abad,10,10,0,1.0,0.0
abadie,16,16,0,1.0,0.0
abadié,71,71,0,1.0,0.0
abailard,26,26,0,1.0,0.0
abaissez,35,8,0,0.22857142857142856,0.0
abancour,7,7,0,1.0,0.0
abancourt,9,9,0,1.0,0.0
abandonnons,143,31,1,0.21678321678321677,0.006993006993006993
abasside,8,8,0,1.0,0.0
abattez,28,9,0,0.32142857142857145,0.0
abba,13,13,0,1.0,0.0
abbadie,13,13,0,1.0,0.0
abbas,49,47,0,0.9591836734693877,0.0
abbatiale,118,45,3,0.3813559322033898,0.025423728813559324
abbatucci,52,52,0,1.0,0.0
abbesses,73,45,0,0.6164383561643836,0.0
abbeville,136,136,0,1.0,0.0
abbey,16,16,0,1.0,0.0
abbiette,15,15,0,1.0,0.0
abbitibbé,6,6,0,1.0,0.0
abbon,5,5,1,1.0,0.2
abbès,28,28,1,1.0,0.03571428571428571
abc,39,33,29,0.8461538461538461,0.7435897435897436
abd,208,208,1,1.0,0.004807692307692308
abdallah,173,173,0,1.0,0.0
abdalonim,20,20,0,1.0,0.0
abdel,13,13,0,1.0,0.0
abdoul,7,7,0,1.0,0.0
abdul,79,79,2,1.0,0.02531645569620253
abdérame,27,27,0,1.0,0.0
abeddin,10,10,0,1.0,0.0
abeilard,10,10,0,1.0,0.0
abeille,612,325,4,0.5310457516339869,0.006535947712418301
abel,1043,1043,175,1.0,0.16778523489932887
abelska,9,9,0,1.0,0.0
aben,66,66,0,1.0,0.0
abencerages,6,6,0,1.0,0.0
abencerrage,17,17,0,1.0,0.0
abencerrages,15,15,0,1.0,0.0
abencérage,5,5,0,1.0,0.0
abencérages,5,5,0,1.0,0.0
abenhama,20,20,0,1.0,0.0
abens,8,8,0,1.0,0.0
abensberg,49,49,0,1.0,0.0
aber,7,5,0,0.7142857142857143,0.0
abercrombie,11,11,0,1.0,0.0
abercromby,9,9,0,1.0,0.0
aberdeen,6,6,0,1.0,0.0
aberfoyle,107,107,0,1.0,0.0
aberfull,34,34,0,1.0,0.0
aberly,18,18,0,1.0,0.0
abiel,20,20,0,1.0,0.0
abigaïl,26,26,1,1.0,0.038461538461538464
abincourt,23,23,0,1.0,0.0
abiron,7,7,0,1.0,0.0
abisaïg,12,12,0,1.0,0.0
ablon,16,16,0,1.0,0.0
