token_lower,spacy_form,spacy_pos,spacy_lemma
aag,Aag,PROPN,Aag
aah,Aah,PROPN,Aah
aapland,Aapland,PROPN,Aapland
aaps,Aaps,PROPN,Aaps
aar,Aar,PROPN,Aar
aarau,Aarau,PROPN,Aarau
aaron,Aaron,PROPN,Aaron
abach,Abach,PROPN,Abach
abad,Abad,PROPN,Abad
abadie,Abadie,PROPN,Abadie
abadié,Abadié,PROPN,Abadié
abailard,Abailard,PROPN,Abailard
abaissez,Abaissez,PROPN,Abaissez
abancourt,Abancourt,PROPN,Abancourt
abattez,Abattez,PROPN,Abattez
abba,Abba,PROPN,Abba
abbatucci,Abbatucci,PROPN,Abbatucci
abbesses,Abbesses,PROPN,Abbesses
abbeville,Abbeville,PROPN,Abbeville
abbey,Abbey,PROPN,Abbey
abbiette,Abbiette,PROPN,Abbiette
abbon,Abbon,PROPN,Abbon
abbès,Abbès,PROPN,Abbès
abc,Abc,PROPN,Abc
abdallah,Abdallah,PROPN,Abdallah
abdalonim,Abdalonim,PROPN,Abdalonim
abdel,Abdel,PROPN,Abdel
abdoul,Abdoul,PROPN,Abdoul
abdul,Abdul,PROPN,Abdul
abeddin,Abeddin,PROPN,Abeddin
abeilard,Abeilard,PROPN,Abeilard
abeille,Abeille,PROPN,Abeille
abel,Abel,PROPN,Abel
abelska,Abelska,PROPN,Abelska
aben,Aben,PROPN,Aben
abencerages,Abencerages,PROPN,Abencerages
abencerrages,Abencerrages,PROPN,Abencerrages
abencérages,Abencérages,PROPN,Abencérages
abenhama,Abenhama,PROPN,Abenhama
abens,Abens,PROPN,Abens
abensberg,Abensberg,PROPN,Abensberg
abercrombie,Abercrombie,PROPN,Abercrombie
abercromby,Abercromby,PROPN,Abercromby
aberdeen,Aberdeen,PROPN,Aberdeen
aberfoyle,Aberfoyle,PROPN,Aberfoyle
aberfull,Aberfull,PROPN,Aberfull
abigaïl,Abigaïl,PROPN,Abigaïl
abincourt,Abincourt,PROPN,Abincourt
abiron,Abiron,PROPN,Abiron
abisaïg,Abisaïg,PROPN,Abisaïg
ablon,Ablon,PROPN,Ablon
abordez,Abordez,PROPN,Abordez
abou,Abou,PROPN,Abou
aboukir,Aboukir,PROPN,Aboukir
aboule,Aboule,PROPN,Aboule
aboulfatah,Aboulfatah,PROPN,Aboulfatah
abourmagh,Abourmagh,PROPN,Abourmagh
abousin,Abousin,PROPN,Abousin
about,About,PROPN,About
abracadabra,Abracadabra,PROPN,Abracadabra
abraham,Abraham,PROPN,Abraham
abramko,Abramko,PROPN,Abramko
abrantès,Abrantès,PROPN,Abrantès
abreschwiller,Abreschwiller,PROPN,Abreschwiller
abreu,Abreu,PROPN,Abreu
abrial,Abrial,PROPN,Abrial
abricotine,Abricotine,PROPN,Abricotine
abruzze,Abruzze,PROPN,Abruzze
abruzzes,Abruzzes,PROPN,Abruzzes
abrégez,Abrégez,PROPN,Abrégez
absalon,Absalon,PROPN,Absalon
abstenez,Abstenez,PROPN,Abstenez
abten,Abten,PROPN,Abten
aby,Aby,PROPN,Aby
abyla,Abyla,PROPN,Abyla
abyssinie,Abyssinie,PROPN,Abyssinie
abyssinienne,Abyssinienne,PROPN,Abyssinienne
