file,title,author,author_birth,author_death,author_sex,publication_year,genres,publication_year_raw,publication_year_corrected,date_correction_note
1811_Chateaubriand-François-Rene-de_Oeuvres-completes.xml,Oeuvres complètes de Chateaubriand. augmentées d'un essai sur la vie et les ouvrages de l'auteur / [par Delandine de Saint-Esprit] - Volume 7 (1851-1852),"Chateaubriand, François-René de",1768,1848,male,1811,récit de voyage,1811,1811,
1812_Kock-Paul-de_L-enfant-de-ma-femme.xml,L'enfant de ma femme,"Kock, Paul de",1793,1871,male,1812,,1812,1812,
1815_Gay-Sophie_Anatole_Vol-1.xml,"Anatole, Vol. 1","Gay, Sophie",1776,1852,female,1815,,1815,1815,
1815_Gay-Sophie_Anatole_Vol-2.xml,"Anatole, Vol. 2","Gay, Sophie",1776,1852,female,1815,,1815,1815,
1816_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar_(Tome-1).xml,"La Vierge de l'Indostan, ou les Portugais au Malabar, par Mme Barthélemy-Hadot (1816), tome 1","Barthélemy-Hadot, Marie-Adélaïde",1763,1821,female,1816,roman historique,1816,1816,
1816_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar_(Tome-2).xml,"La Vierge de l'Indostan, ou les Portugais au Malabar (Tome 2)","Barthélemy-Hadot, Marie-Adélaïde",1763,1821,female,1816,roman historique,1816,1816,
1816_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar_(Tome-4).xml,"La Vierge de l'Indostan, ou les Portugais au Malabar (Tome 4)","Barthélemy-Hadot, Marie-Adélaïde",1763,1821,female,1816,roman historique,1816,1816,
1816_Bournon-Malarme-Charlotte-de_Lancelot-Montagu-ou-le-Resultat-des-bonnes-fortunes_Tome-1.xml,"Lancelot Montagu, ou le Résultat des bonnes fortunes. Tome 1","Bournon-Malarme, Charlotte de",1753,1830,female,1816,,1816,1816,
1816_Bournon-Malarme-Charlotte-de_Lancelot-Montagu-ou-le-Resultat-des-bonnes-fortunes_Tome-2.xml,"Lancelot Montagu, ou le Résultat des bonnes fortunes. Tome 2","Bournon-Malarme, Charlotte de",1753,1830,female,1816,,1816,1816,
1816_Bournon-Malarme-Charlotte-de_Lancelot-Montagu-ou-le-Resultat-des-bonnes-fortunes_Tome-3.xml,"Lancelot Montagu, ou le Résultat des bonnes fortunes. Tome 3","Bournon-Malarme, Charlotte de",1753,1830,female,1816,,1816,1816,
1816_Constant-Benjamin_Adolphe.xml,Adolphe,"Constant, Benjamin",1767,1830,male,1815,,1815,1815,
1817_Barthelemy-Hadot-Marie-Adelaide_Les-Venitiens-ou-le-Capitaine-français_(Tome-2).xml,"Les Vénitiens, ou le Capitaine français (Tome 2)","Barthélemy-Hadot, Marie-Adélaïde",1763,1821,female,1817,roman d'aventures,1817,1817,
1817_Barthelemy-Hadot-Marie-Adelaide_Les-Venitiens-ou-le-Capitaine-français_(Tome-4).xml,"Les Vénitiens, ou le Capitaine français (Tome 4)","Barthélemy-Hadot, Marie-Adélaïde",1763,1821,female,1817,roman d'aventures,1817,1817,
1817_Barthelemy-Hadot-Marie-Adelaide_Les-venitiens-ou-Le-capitaine-français_(Tome-1).xml,"Les Vénitiens, ou le Capitaine français (Tome 1)","Barthélemy-Hadot, Marie-Adélaïde",1763,1821,female,1817,roman d'aventures,1817,1817,
1819_Barthelemy-Hadot-Marie-Adelaide_Laurence-de-Sully-ou-L-ermitage-en-Suisse_(Tome-2).xml,"Laurence de Sully, ou L'ermitage en Suisse - Tome 2","Barthélemy-Hadot, Marie-Adélaïde",1763,1821,female,1819,roman historique,1819,1819,
1819_Barthelemy-Hadot-Marie-Adelaide_Laurence-de-Sully-ou-L-ermitage-en-Suisse_(Tome-3).xml,"Laurence de Sully, ou L'ermitage en Suisse , par Mme Barthélemy-Hadot - Tome 3 (1819)","Barthélemy-Hadot, Marie-Adélaïde",1763,1821,female,1819,roman historique,1819,1819,
1819_Barthelemy-Hadot-Marie-Adelaide_Laurence-de-Sully-ou-L-ermitage-en-Suisse_(Tome-4).xml,"Laurence de Sully, ou L'ermitage en Suisse - Tome 4","Barthélemy-Hadot, Marie-Adélaïde",1763,1821,female,1819,roman historique,1819,1819,
1821_Arlincourt-Charles-Victor_Le-Solitaire.xml,Le Solitaire,"Arlincourt, Charles-Victor Prévost d'",1788,1856,male,1821,roman historique,1821,1821,
1822_Arlincourt-Charles-Victor_Le-renégat_Tome-1.xml,Le renégat tome 1,"Arlincourt, Charles-Victor Prévost d'",1788,1856,male,1822,roman historique,1822,1822,
1822_Arlincourt-Charles-Victor_Le-renégat_Tome-2.xml,Le renégat tome 2,"Arlincourt, Charles-Victor Prévost d'",1788,1856,male,1822,roman historique,1822,1822,
1822_Hugo-Victor_Han-d-Islande.xml,Han d’Islande,"Hugo, Victor",1802,1885,male,1822,roman historique,1822,1822,
1823_Duras-Claire-de-Durfort_Ourika.xml,Ourika,"Duras, Claire (de)",1777,1828,female,1823,,1823,1823,
1824_Beaufort-d-Hautpoul-Anne-Marie-de_Le-Page-et-la-romance_tome-3.xml,"Le Page et la romance, par Mme la comtesse d'Hautpoul (tome 3)","Beaufort d'Hautpoul, Anne-Marie de",1763,1837,female,1824,roman historique,1824,1824,
1824_Beaufort-d-Hautpoul_Le-page-et-la-romance_tome-1.xml,Le page et la romance tome 1,"Beaufort d'Hautpoul, Anne-Marie de",1763,1837,female,1824,roman historique,1824,1824,
1824_Mazier-du-Heaume-Hippolyte_Voyage-d-un-jeune-grec-a-Paris_Volume-1.xml,Voyage d'un jeune grec à Paris. Volume 1,"Mazier du Heaume, Hippolyte",1???,1???,male,1824,,1824,1824,
1824_Mazier-du-Heaume-Hippolyte_Voyage-d-un-jeune-grec-a-Paris_Volume-2.xml,Voyage d'un jeune grec à Paris. Volume 2,"Mazier du Heaume, Hippolyte",1???,1???,male,1824,,1824,1824,
1825_Duras-Claire-de_Edouard.xml,Edouard,"Duras, Claire (de)",1777,1828,female,1825,,1825,1825,
1825_de-Lamothe-Langon-Etienne-Leon_Le-Monastere-des-freres-noirs.xml,Le Monastère des frères noirs,"de Lamothe-Langon, Étienne-Léon",1786,1864,male,1825,roman historique; roman d'aventures,1825,1825,
1826_Ginouvier-J-F-T._Gustave-et-Aspais-ou-Les-victimes-des-prejuges-de-l-epoque_tome-1.xml,"Gustave et Aspaïs, ou Les victimes des préjugés de l'époque . Par T. Ginouvier (1826)","Ginouvier, J.-F.-T.",1???,1???,,1826,épistolaire,1826,1826,
1826_Ginouvier-J-F-T._Gustave-et-Aspais-ou-Les-victimes-des-prejuges-de-l-epoque_tome-2.xml,"Gustave et Aspaïs, ou Les victimes des préjugés de l'époque . Par T. Ginouvier - Tome 2 (1826)","Ginouvier, J.-F.-T.",1???,1???,,1826,épistolaire,1826,1826,
1826_Ginouvier-J-F-T._Gustave-et-Aspais-ou-Les-victimes-des-prejuges-de-l-epoque_tome-3.xml,"Gustave et Aspaïs, ou Les victimes des préjugés de l'époque (tome 3)","Ginouvier, J.-F.-T.",1???,1???,,1826,épistolaire,1826,1826,
1826_Kock-Paul-de_Andre-le-Savoyard.xml,André le Savoyard,"Kock, Paul de",1793,1871,male,1826,,1826,1826,
1827_Inconnu_Le-rocher.xml,Le rocher,Inconnu,1???,1???,female,1827,roman historique,1827,1827,
1827_Janin-Jules_L-Ane-mort-et-la-femme-guillotinee.xml,L'Ane mort et la femme guillotinée,"Janin, Jules",1804,1874,male,1829,,1829,1829,
1827_Stendhal_Armance.xml,Armance,Stendhal,1783,1842,male,1827,,1827,1827,
1827_Vidocq-Eugene-François_Memoires-de-Vidocq_Tome-I.xml,Mémoires de Vidocq - Tome I,"Vidocq, Eugène-François",1775,1857,male,1828,mémoires et autobiographie,1828,1828,
1827_Vidocq-Eugene-François_Memoires-de-Vidocq_Tome-II.xml,Mémoires de Vidocq - Tome II,"Vidocq, Eugène-François",1775,1857,male,1828,mémoires et autobiographie,1828,1828,
1827_Vidocq-Eugene-François_Memoires-de-Vidocq_Tome-III.xml,Mémoires de Vidocq - Tome III,"Vidocq, Eugène-François",1775,1857,male,1828,mémoires et autobiographie,1828,1828,
1827_Vidocq-Eugene-François_Memoires-de-Vidocq_Tome-IV.xml,Mémoires de Vidocq - Tome IV,"Vidocq, Eugène-François",1775,1857,male,1828,mémoires et autobiographie,1828,1828,
1827_Vigny-Alfred-de_Cinq-Mars.xml,Cinq-Mars,"Vigny, Alfred de",1797,1863,male,1827,roman historique,1827,1827,
1828_Kock-Paul-de_Jean.xml,Jean,"Kock, Paul de",1793,1871,male,1828,,1828,1828,
1829_Custine-Astolphe-de_Aloys-ou-le-Religieux-du-mont-Saint-Bernard.xml,"Aloys, ou le Religieux du mont Saint-Bernard","Custine, Astolphe de",1790,1857,male,1829,,1829,1829,
1829_Giberton-Theodore_La-fille-du-vieux-chanteur.xml,La fille du vieux chanteur,"Giberton, Theodore",1???,1???,male,1829,roman historique,1829,1829,
1829_Hugo-Victor_Le-dernier-jour-d-un-condamne.xml,Le dernier jour d’un condamné.,"Hugo, Victor",1802,1885,male,1829,,1829,1829,
1829_Merimee-Prosper_Mateo-Falcone.xml,Mateo Falcone,"Mérimée, Prosper",1803,1870,male,1829,nouvelles,1829,1829,
1829_Merimee-Prosper_Tamango.xml,Tamango,"Mérimée, Prosper",1803,1870,male,1829,nouvelles,1829,1829,
1830_Merimee-Prosper_La-Partie-de-Trictrac.xml,La Partie de Trictrac,"Mérimée, Prosper",1803,1870,male,1830,nouvelles,1830,1830,
1830_Stendhal_Le-Rouge-et-le-noir.xml,Le Rouge et le noir,Stendhal,1783,1842,male,1830,,1830,1830,
1830_Sue-Eugene_Kernok-le-Pirate.xml,Kernok le Pirate,"Sue, Eugène",1804,1857,male,1830,roman d'aventures,1830,1830,
1831_Balzac-Honore-de_La-Peau-de-chagrin-ed-Gosselin.xml,"La Peau de chagrin, roman philosophique, par M. de Balzac (1831)","Balzac, Honoré de",1799,1850,male,1831,,1831,1831,
