word,global_frequency,pos,lemma,is_stopword,is_proper_noun_candidate,is_content_pos
bien,484462,ADV,bien,False,False,True
faire,225569,VERB,faire,False,False,True
homme,213112,NOUN,homme,False,False,True
jeune,168738,ADJ,jeune,False,False,True
femme,165949,NOUN,femme,False,False,True
yeux,153263,NOUN,oeil,False,False,True
non,152644,ADV,non,False,False,True
monsieur,151697,NOUN,Monsieur,False,False,True
fit,150552,VERB,faire,False,False,True
temps,147678,NOUN,temps,False,False,True
jamais,139420,ADV,jamais,False,False,True
père,135412,ADJ,pèr,False,False,True
fois,134363,NOUN,fois,False,False,True
fille,132572,NOUN,fille,False,False,True
point,129012,NOUN,point,False,False,True
grand,127122,ADJ,grand,False,False,True
jour,126942,NOUN,jour,False,False,True
tête,123973,NOUN,tête,False,False,True
madame,121440,NOUN,monsieur,False,False,True
main,120768,NOUN,main,False,False,True
vie,114024,NOUN,vie,False,False,True
mère,113919,NOUN,mère,False,False,True
voix,113490,NOUN,voix,False,False,True
porte,112754,VERB,porte,False,False,True
voir,112609,VERB,voir,False,False,True
moment,109661,NOUN,moment,False,False,True
cœur,102339,ADJ,cœur,False,False,True
trop,101238,ADV,trop,False,False,True
petit,99857,ADJ,petit,False,False,True
coup,98025,NOUN,coup,False,False,True
petite,97745,ADJ,petit,False,False,True
heure,96796,NOUN,heure,False,False,True
répondit,96432,VERB,répondre,False,False,True
faut,94646,VERB,falloir,False,False,True
enfant,94171,NOUN,enfant,False,False,True
bon,94065,ADJ,bon,False,False,True
ici,88460,ADV,ici,False,False,True
chose,88206,NOUN,chose,False,False,True
air,88082,NOUN,air,False,False,True
maison,84067,NOUN,maison,False,False,True
pauvre,83325,ADJ,pauvre,False,False,True
jours,79209,NOUN,jour,False,False,True
bras,79142,NOUN,bras,False,False,True
heures,77624,NOUN,heure,False,False,True
mort,77459,NOUN,mort,False,False,True
nuit,74221,NOUN,nuit,False,False,True
sais,73978,VERB,savoir,False,False,True
hommes,72908,NOUN,homme,False,False,True
nom,72084,NOUN,nom,False,False,True
chambre,71516,NOUN,chambre,False,False,True
grande,71114,ADJ,grand,False,False,True
mains,70399,NOUN,main,False,False,True
fort,70113,ADV,fort,False,False,True
amour,69127,NOUN,amour,False,False,True
soir,68816,NOUN,soir,False,False,True
reprit,67356,VERB,reprendre,False,False,True
bonne,67217,ADJ,bon,False,False,True
faisait,66578,VERB,faire,False,False,True
mieux,65972,ADV,mieux,False,False,True
ami,65528,NOUN,ami,False,False,True
demanda,65406,VERB,demander,False,False,True
peine,64823,NOUN,peine,False,False,True
fils,64245,NOUN,fils,False,False,True
venait,63538,VERB,venir,False,False,True
ans,63316,NOUN,an,False,False,True
veux,62013,VERB,vouloir,False,False,True
regard,61428,NOUN,regard,False,False,True
doute,61019,NOUN,doute,False,False,True
côté,60954,NOUN,côté,False,False,True
presque,59993,ADV,presque,False,False,True
vieux,58434,ADJ,vieux,False,False,True
disait,58427,VERB,dire,False,False,True
belle,58335,ADJ,bel,False,False,True
maître,58138,NOUN,maître,False,False,True
allait,57690,VERB,aller,False,False,True
beaucoup,57492,ADV,beaucoup,False,False,True
place,57375,NOUN,place,False,False,True
