term,coef,std_error,t_or_z,p_value,model
Intercept,2.5858201963487986,0.02098982796942249,123.19396805518194,0.0,camembert_conformity_ols_clustered
C(decade)[T.1820],-0.014875980103160297,0.015863519981948567,-0.9377477457769768,0.3483740606039176,camembert_conformity_ols_clustered
C(decade)[T.1830],0.16235827350041968,0.016318965515104335,9.949054267572649,2.5459108609274833e-23,camembert_conformity_ols_clustered
C(decade)[T.1840],0.7823295319163364,0.0189856482611753,41.20636394155479,0.0,camembert_conformity_ols_clustered
C(decade)[T.1850],0.5714147513538476,0.017965109534600628,31.806917194315364,5.1936606544711066e-222,camembert_conformity_ols_clustered
C(decade)[T.1860],0.8249843678625812,0.019050207928975486,43.305793350831344,0.0,camembert_conformity_ols_clustered
C(decade)[T.1870],0.9298163877430549,0.019612754771348117,47.40876019626805,0.0,camembert_conformity_ols_clustered
C(decade)[T.1880],0.9896541419334556,0.019818474489623965,49.93593944133251,0.0,camembert_conformity_ols_clustered
C(decade)[T.1890],0.6314316409502494,0.018385294702880365,34.344385072670335,1.7082767020276e-258,camembert_conformity_ols_clustered
C(decade)[T.1900],0.465825144798506,0.01765168098513155,26.38984611102377,1.791993856125119e-153,camembert_conformity_ols_clustered
C(decade)[T.1910],0.4492306090033097,0.017540236308973618,25.61143425265499,1.1378290987726505e-144,camembert_conformity_ols_clustered
C(decade)[T.1920],0.48812056573400797,0.01772701552947766,27.535405772185886,6.6183520492925804e-167,camembert_conformity_ols_clustered
C(decade)[T.1930],0.5548104930912168,0.01850701904624487,29.97838234806321,1.8779517620670978e-197,camembert_conformity_ols_clustered
C(decade)[T.1940],-0.04814549762862631,0.01795321976804161,-2.681719393550217,0.007324486907290455,camembert_conformity_ols_clustered
C(decade)[T.1950],1.0248863300084745,0.02573209229652366,39.82910982123805,0.0,camembert_conformity_ols_clustered
log_frequency,-0.6185935357599768,0.004922990299421304,-125.6540228878152,0.0,camembert_conformity_ols_clustered
Intercept,2.747031217269767,0.020384731480648104,134.7592544879786,0.0,camembert_contextual_innovation_ols_clustered
C(decade)[T.1820],-0.007883994045291592,0.015800214693872883,-0.4989801846394468,0.6177933436929658,camembert_contextual_innovation_ols_clustered
C(decade)[T.1830],0.19165174022878045,0.015859412163907797,12.084416386184456,1.2767349369329202e-33,camembert_contextual_innovation_ols_clustered
C(decade)[T.1840],0.8575928714516298,0.018026824624232843,47.573152195578416,0.0,camembert_contextual_innovation_ols_clustered
C(decade)[T.1850],0.6325944176989016,0.017137327962186165,36.913246866415406,2.8330849685416313e-298,camembert_contextual_innovation_ols_clustered
C(decade)[T.1860],0.9038612136589886,0.018053196751755308,50.06654644536051,0.0,camembert_contextual_innovation_ols_clustered
C(decade)[T.1870],1.0173113488566354,0.018573516027349298,54.7721469299973,0.0,camembert_contextual_innovation_ols_clustered
C(decade)[T.1880],1.0782374359536393,0.018785081242202246,57.39860382031723,0.0,camembert_contextual_innovation_ols_clustered
C(decade)[T.1890],0.7000440376524923,0.01746367168078464,40.085730563908506,0.0,camembert_contextual_innovation_ols_clustered
C(decade)[T.1900],0.5191425995328128,0.016906302174060178,30.707046058205925,4.5833685087513905e-207,camembert_contextual_innovation_ols_clustered
C(decade)[T.1910],0.5018445201673396,0.016788565842247628,29.892042291335674,2.4969809011801717e-196,camembert_contextual_innovation_ols_clustered
C(decade)[T.1920],0.5405936715154368,0.017068913420646,31.671241056361115,3.8681275966088224e-220,camembert_contextual_innovation_ols_clustered
C(decade)[T.1930],0.6084167836453402,0.018065448851929324,33.67847589241402,1.1944715179894991e-248,camembert_contextual_innovation_ols_clustered
C(decade)[T.1940],-0.04307153252796481,0.017425371456689084,-2.4717712695548264,0.013444550612480604,camembert_contextual_innovation_ols_clustered
C(decade)[T.1950],1.0997634891905874,0.024586853075564363,44.72973771025569,0.0,camembert_contextual_innovation_ols_clustered
log_frequency,-0.6646700697620804,0.004643225847106031,-143.14833946239062,0.0,camembert_contextual_innovation_ols_clustered
contextual_dispersion_centered,9.818601786707747,0.14020749893967213,70.02907733866968,0.0,camembert_contextual_innovation_ols_clustered
