word,decade,n_occurrences,mean_contextual_dispersion,nearest_centroid_neighbours
industrie,1840,306,0.1237266883254051,"économie, invention, exploitation, association, administration"
industrie,1860,332,0.1257699131965637,"association, invention, économie, administration, exposition"
industrie,1880,377,0.1412446200847625,"usine, industriel, exploitation, association, administration"
industrie,1900,131,0.1192752197384834,"usine, invention, administration, exposition, ingénieur"
industrie,1920,69,0.1264580488204956,"usine, administration, ingénieur, invention, association"
bourgeoisie,1840,282,0.1043912544846534,"bourgeoise, bourgeois, noblesse, classe, paysanne"
bourgeoisie,1860,134,0.1103392913937568,"bourgeoise, bourgeois, noblesse, société, paysanne"
bourgeoisie,1880,166,0.1061869487166404,"bourgeoise, bourgeois, paysanne, noblesse, société"
bourgeoisie,1900,81,0.1026506200432777,"bourgeoise, bourgeois, paysanne, parisienne, société"
bourgeoisie,1920,69,0.111336849629879,"bourgeoise, bourgeois, noblesse, parisienne, société"
républicain,1840,209,0.1087125390768051,"idiot, étudiant, révolutionnaire, citoyenne, exilé"
républicain,1860,194,0.102799192070961,"national, révolutionnaire, patriote, député, étudiant"
républicain,1880,147,0.1192987412214279,"sceptique, citoyen, révolutionnaire, ingénieur, écrivain"
républicain,1900,84,0.1002997681498527,"national, écrivain, citoyen, ouvrier, député"
républicain,1920,26,0.1184077337384224,"écrivain, ingénieur, ouvrier, idiot, enseigne"
