file,publication_year,decade,token_count,unique_token_count
1811_Chateaubriand-François-Rene-de_Oeuvres-completes.xml,1811,1810,153209,15890
1812_Kock-Paul-de_L-enfant-de-ma-femme.xml,1812,1810,51583,5515
1815_Gay-Sophie_Anatole_Vol-1.xml,1815,1810,28217,4249
1815_Gay-Sophie_Anatole_Vol-2.xml,1815,1810,29351,4402
1816_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar_(Tome-1).xml,1816,1810,30528,4532
1816_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar_(Tome-2).xml,1816,1810,34239,4574
1816_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar_(Tome-4).xml,1816,1810,36361,4674
1816_Bournon-Malarme-Charlotte-de_Lancelot-Montagu-ou-le-Resultat-des-bonnes-fortunes_Tome-1.xml,1816,1810,39752,5644
1816_Bournon-Malarme-Charlotte-de_Lancelot-Montagu-ou-le-Resultat-des-bonnes-fortunes_Tome-2.xml,1816,1810,35111,5171
1816_Bournon-Malarme-Charlotte-de_Lancelot-Montagu-ou-le-Resultat-des-bonnes-fortunes_Tome-3.xml,1816,1810,30211,4764
1816_Constant-Benjamin_Adolphe.xml,1815,1810,27099,4554
1817_Barthelemy-Hadot-Marie-Adelaide_Les-Venitiens-ou-le-Capitaine-français_(Tome-2).xml,1817,1810,27792,4000
1817_Barthelemy-Hadot-Marie-Adelaide_Les-Venitiens-ou-le-Capitaine-français_(Tome-4).xml,1817,1810,22461,3489
1817_Barthelemy-Hadot-Marie-Adelaide_Les-venitiens-ou-Le-capitaine-français_(Tome-1).xml,1817,1810,27301,4255
1819_Barthelemy-Hadot-Marie-Adelaide_Laurence-de-Sully-ou-L-ermitage-en-Suisse_(Tome-2).xml,1819,1810,34748,4397
1819_Barthelemy-Hadot-Marie-Adelaide_Laurence-de-Sully-ou-L-ermitage-en-Suisse_(Tome-3).xml,1819,1810,40873,5227
1819_Barthelemy-Hadot-Marie-Adelaide_Laurence-de-Sully-ou-L-ermitage-en-Suisse_(Tome-4).xml,1819,1810,47673,5296
1821_Arlincourt-Charles-Victor_Le-Solitaire.xml,1821,1820,63055,7572
1822_Arlincourt-Charles-Victor_Le-renégat_Tome-1.xml,1822,1820,42845,6730
1822_Arlincourt-Charles-Victor_Le-renégat_Tome-2.xml,1822,1820,45042,6701
1822_Hugo-Victor_Han-d-Islande.xml,1822,1820,121522,11564
1823_Duras-Claire-de-Durfort_Ourika.xml,1823,1820,11087,2358
1824_Beaufort-d-Hautpoul-Anne-Marie-de_Le-Page-et-la-romance_tome-3.xml,1824,1820,28602,4825
1824_Beaufort-d-Hautpoul_Le-page-et-la-romance_tome-1.xml,1824,1820,28939,4387
1824_Mazier-du-Heaume-Hippolyte_Voyage-d-un-jeune-grec-a-Paris_Volume-1.xml,1824,1820,36527,7052
1824_Mazier-du-Heaume-Hippolyte_Voyage-d-un-jeune-grec-a-Paris_Volume-2.xml,1824,1820,15118,4113
1825_Duras-Claire-de_Edouard.xml,1825,1820,24106,3946
1825_de-Lamothe-Langon-Etienne-Leon_Le-Monastere-des-freres-noirs.xml,1825,1820,147969,10919
1826_Ginouvier-J-F-T._Gustave-et-Aspais-ou-Les-victimes-des-prejuges-de-l-epoque_tome-1.xml,1826,1820,31359,4952
1826_Ginouvier-J-F-T._Gustave-et-Aspais-ou-Les-victimes-des-prejuges-de-l-epoque_tome-2.xml,1826,1820,31869,5354
1826_Ginouvier-J-F-T._Gustave-et-Aspais-ou-Les-victimes-des-prejuges-de-l-epoque_tome-3.xml,1826,1820,25529,4536
1826_Kock-Paul-de_Andre-le-Savoyard.xml,1826,1820,124512,8442
1827_Inconnu_Le-rocher.xml,1827,1820,21526,3828
1827_Janin-Jules_L-Ane-mort-et-la-femme-guillotinee.xml,1829,1820,48983,7098
1827_Stendhal_Armance.xml,1827,1820,65934,7510
1827_Vidocq-Eugene-François_Memoires-de-Vidocq_Tome-I.xml,1828,1820,81826,10322
1827_Vidocq-Eugene-François_Memoires-de-Vidocq_Tome-II.xml,1828,1820,88721,10979
1827_Vidocq-Eugene-François_Memoires-de-Vidocq_Tome-III.xml,1828,1820,80336,10316
1827_Vidocq-Eugene-François_Memoires-de-Vidocq_Tome-IV.xml,1828,1820,72809,10217
1827_Vigny-Alfred-de_Cinq-Mars.xml,1827,1820,128386,11935
1828_Kock-Paul-de_Jean.xml,1828,1820,98872,7608
1829_Custine-Astolphe-de_Aloys-ou-le-Religieux-du-mont-Saint-Bernard.xml,1829,1820,14827,3054
1829_Giberton-Theodore_La-fille-du-vieux-chanteur.xml,1829,1820,21817,3580
1829_Hugo-Victor_Le-dernier-jour-d-un-condamne.xml,1829,1820,33856,5799
1829_Merimee-Prosper_Mateo-Falcone.xml,1829,1820,4357,1307
1829_Merimee-Prosper_Tamango.xml,1829,1820,7663,2098
1830_Merimee-Prosper_La-Partie-de-Trictrac.xml,1830,1830,5909,1677
1830_Stendhal_Le-Rouge-et-le-noir.xml,1830,1830,172773,12148
1830_Sue-Eugene_Kernok-le-Pirate.xml,1830,1830,20737,4312
1831_Balzac-Honore-de_La-Peau-de-chagrin-ed-Gosselin.xml,1831,1830,92726,12731
1831_Barbey-d-Aurevilly-Jules_Le-cachet-d-onyx.xml,1919,1910,14936,3275
1831_Hugo-Victor_Notre-Dame-de-Paris_(Tome-1).xml,1831,1830,69163,10271
1831_Hugo-Victor_Notre-Dame-de-Paris_(Tome-2).xml,1831,1830,93698,11081
1831_Montovar-Mme-Ha-Dges_Aslega.xml,1831,1830,26260,5117
1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-1.xml,1831,1830,18859,4156
1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-2.xml,1831,1830,24029,4504
1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-3.xml,1831,1830,25921,4902
1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-4.xml,1831,1830,21579,4417
1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-5.xml,1831,1830,23540,4701
1831_Sue-Eugene_Atar-Gull.xml,1831,1830,53586,7816
1832_Corbiere-Edouard_Les-pilotes-de-l-Iroise.xml,1832,1830,51068,6912
1832_Desprez-Ernest_Un-enfant_tome-1.xml,1832,1830,20813,3269
1832_Desprez-Ernest_Un-enfant_tome-2.xml,1832,1830,28076,3861
1832_Desprez-Ernest_Un-enfant_tome-3.xml,1832,1830,24066,3745
1832_Karr-Alphonse_Sous-les-tilleuls.xml,1832,1830,112665,10303
1832_Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees_(tome-1).xml,1832,1830,29759,4213
1832_Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees_(tome-2).xml,1832,1830,31009,4564
1832_Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees_(tome-3).xml,1832,1830,30587,4543
