Model,Word,Decade,Nearest neighbors
SGNS,ailleurs,1840,"aisé, raisonnablement, intriguer, embarrasser, gênant"
SGNS,ailleurs,1860,"raisonnablement, faille, comprendrait, préférer, désirer"
SGNS,ailleurs,1880,"songerait, changerait, autrement, improbable, problématique"
SGNS,ailleurs,1900,"aisément, toutefois, rigueur, assurément, difficile"
PPMI/SVD,ailleurs,1840,"car, mais, mieux, bien, rien"
PPMI/SVD,ailleurs,1860,"pas, moins, doute, peut, ne"
PPMI/SVD,ailleurs,1880,"moins, point, mais, car, reste"
PPMI/SVD,ailleurs,1900,"moins, point, doute, sans, mais"
SGNS,orangers,1840,"parterres, marronniers, rosiers, fleuris, tilleuls"
SGNS,orangers,1860,"cerisiers, pelouses, neigeux, bourgeons, grimpantes"
SGNS,orangers,1880,"citronniers, parterres, myrtes, ombreux, figuiers"
SGNS,orangers,1900,"figuiers, bosquets, maisonnettes, ogives, pavots"
PPMI/SVD,orangers,1840,"acacias, myrtes, bosquets, chèvrefeuilles, rosiers"
PPMI/SVD,orangers,1860,"massifs, acacias, séculaires, oliviers, palmiers"
PPMI/SVD,orangers,1880,"citronniers, figuiers, lauriers, grenadiers, oliviers"
PPMI/SVD,orangers,1900,"lauriers, rosiers, noyers, palmiers, arbustes"
