Model,Word,Decade,Core semantic neighbors
SGNS,industrie,1840,"exploitation, mécanique, matériel, consommation, produits"
SGNS,industrie,1860,"exploitation, spéculation, agriculture, négoce, produits"
SGNS,industrie,1880,"agricole, extension, négoce, production, exploitation"
SGNS,industrie,1900,"exploitation, origine, fonder, ingéniosité, renom"
PPMI/SVD,industrie,1840,"agriculture, spéculation, fabriquer, commerce, fabrication"
PPMI/SVD,industrie,1860,"agriculture, commerce, arts, métiers, civilisation"
PPMI/SVD,industrie,1880,"production, manufactures, fabrication, agricole, agriculture"
PPMI/SVD,industrie,1900,"agricole, commerce, science, bienfaisance, progrès"
SGNS,bourgeoisie,1840,"aristocratie, finance, célébrité, province, magistrature"
SGNS,bourgeoisie,1860,"aristocratie, renommée, catégorie, caste, renom"
SGNS,bourgeoisie,1880,"aristocratie, lignée, caste, élite, héréditaire"
SGNS,bourgeoisie,1900,"oeuvre, aristocratie, règles, traditions, tradition"
PPMI/SVD,bourgeoisie,1840,"aristocratie, noblesse, libérale, classe, constitutionnelle"
PPMI/SVD,bourgeoisie,1860,"aristocratie, noblesse, caste, clergé, rétablir"
PPMI/SVD,bourgeoisie,1880,"aristocratie, caste, parisienne, noblesse, française"
PPMI/SVD,bourgeoisie,1900,"magistrature, noblesse, provinciale, aristocratie, société"
SGNS,républicain,1840,"tribun, libéral, royaliste, partisan, prétendant"
SGNS,républicain,1860,"royaliste, fouché, prussien, feld, autrichien"
SGNS,républicain,1880,"réputé, bonapartiste, patriote, clérical, nihiliste"
SGNS,républicain,1900,"citoyen, royaliste, citer, traité, réclame"
PPMI/SVD,républicain,1840,"royaliste, patriote, lafayette, légitimiste, bonapartiste"
PPMI/SVD,républicain,1860,"royaliste, libéral, république, garat, caraffa"
PPMI/SVD,républicain,1880,"royaliste, candidat, libéral, révolutionnaire, député"
PPMI/SVD,républicain,1900,"royaliste, radical, nationaliste, lacrisse, patriote"
