word,global_frequency
de,5924872
la,3545494
et,3310774
le,3086291
à,2777533
il,2519053
les,1970870
un,1925277
que,1844425
en,1628248
je,1497760
une,1404381
qui,1314634
vous,1254030
elle,1242926
ne,1189947
des,1185760
pas,1171141
est,1143308
dans,1054374
se,1034355
ce,998495
du,933226
pour,882051
son,864816
était,820390
lui,797585
au,772873
avait,734789
plus,694595
sa,678090
mais,658196
sur,658046
a,601746
on,590203
avec,580739
par,576968
nous,546760
tout,537558
ses,525199
me,519146
comme,506997
si,499458
bien,484462
dit,484076
cette,480984
y,404942
mon,399315
moi,332837
sans,327846
tu,323289
ai,317640
même,317568
où,305222
ils,302666
être,293323
ces,290288
deux,284669
ma,260349
là,246958
aux,243555
fait,231043
faire,225569
ou,223212
encore,222624
leur,213421
homme,213112
peu,193064
quand,190239
dont,188406
tous,185471
rien,179905
votre,179676
cela,178890
après,171807
donc,168905
jeune,168738
puis,168088
femme,165949
aussi,164853
été,164045
autre,163695
avoir,155680
yeux,153263
fut,152965
non,152644
suis,152532
peut,152434
monsieur,151697
sous,151581
fit,150552
temps,147678
étaient,142652
dire,142010
sont,139675
jamais,139420
alors,137618
père,135412
fois,134363
toujours,134252
fille,132572
quelques,129925
point,129012
toute,128801
car,128630
mes,127174
grand,127122
jour,126942
tête,123973
très,123583
oui,123201
madame,121440
vers,121354
main,120768
leurs,119411
vie,114024
mère,113919
avez,113655
voix,113490
porte,112754
chez,112736
cet,112694
voir,112609
devant,111783
quelque,110892
toutes,110336
moment,109661
ainsi,107338
moins,106130
te,105578
avaient,104446
ah,102718
cœur,102339
depuis,101289
trop,101238
petit,99857
entre,99423
eût,98460
notre,98167
trois,98072
coup,98025
petite,97745
heure,96796
répondit,96432
ni,96240
autres,96055
celui,95211
faut,94646
enfant,94171
bon,94065
ont,93888
monde,91617
ici,88460
chose,88206
air,88082
dieu,86295
déjà,85905
avant,84125
maison,84067
pauvre,83325
pendant,83206
enfin,82585
elles,82148
contre,81003
ton,80386
près,80192
tant,79505
jours,79209
bras,79142
avais,78314
mme,78132
heures,77624
mort,77459
assez,76449
eh,76268
oh,75626
eut,74461
nuit,74221
sais,73978
ça,73528
voilà,73261
toi,73016
hommes,72908
êtes,72726
maintenant,72483
nom,72084
pouvait,71811
chambre,71516
grande,71114
mains,70399
fort,70113
comment,70083
celle,69658
seul,69491
amour,69127
soir,68816
pourquoi,67897
serait,67675
reprit,67356
bonne,67217
personne,67033
faisait,66578
mieux,65972
ami,65528
demanda,65406
nos,65169
eu,64912
cependant,64898
peine,64823
fils,64245
eux,64157
venait,63538
ans,63316
écria,63272
paris,62229
